epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc
285,0.8671875,0.3203125,0.703125,0.171875,0.4921875,0.1328125
286,0.84375,0.3125,0.9609375,0.2265625,0.9453125,0.1796875
287,0.9375,0.390625,0.90625,0.3046875,0.90625,0.1875
288,0.921875,0.4296875,0.921875,0.2578125,0.6640625,0.1796875
289,0.8671875,0.375,0.7421875,0.1875,0.8984375,0.1484375
290,0.765625,0.375,0.9140625,0.171875,0.9609375,0.1640625
291,0.8046875,0.4765625,0.7265625,0.2578125,1.0,0.1640625
292,0.9375,0.3359375,1.0,0.1640625,0.9765625,0.109375
293,0.859375,0.375,0.921875,0.15625,0.9765625,0.1953125
294,0.96875,0.328125,0.984375,0.25,0.9921875,0.1796875
295,0.921875,0.265625,0.9453125,0.1875,0.9921875,0.1875
296,0.96875,0.375,1.0,0.2109375,0.9921875,0.171875
297,0.9609375,0.265625,0.9765625,0.234375,1.0,0.1953125
298,0.9921875,0.3984375,0.9765625,0.2109375,0.9921875,0.21875
299,0.9453125,0.3125,0.984375,0.234375,0.984375,0.234375
300,0.9375,0.375,0.9765625,0.2265625,1.0,0.296875
301,0.9453125,0.328125,0.9375,0.1640625,1.0,0.28125
302,0.953125,0.46875,1.0,0.328125,0.984375,0.1640625
303,0.96875,0.3828125,0.9765625,0.25,1.0,0.2578125
304,0.953125,0.3359375,0.9921875,0.171875,0.984375,0.21875
305,0.9921875,0.328125,0.890625,0.234375,1.0,0.234375
306,0.921875,0.296875,0.9296875,0.25,1.0,0.2265625
307,0.9453125,0.4453125,0.9609375,0.2421875,0.8984375,0.2578125
308,0.953125,0.4375,0.9375,0.234375,0.84375,0.15625
309,0.90625,0.375,0.8359375,0.2734375,0.1640625,0.1015625
310,0.8203125,0.3671875,0.9921875,0.140625,0.765625,0.1015625
311,0.953125,0.3359375,0.953125,0.1484375,0.0390625,0.15625
312,0.96875,0.3671875,0.984375,0.1171875,0.0078125,0.1171875
313,0.9140625,0.296875,0.8984375,0.1015625,0.0,0.1328125
314,0.859375,0.3125,1.0,0.1171875,0.0,0.0859375
315,0.9375,0.296875,0.5,0.15625,0.0,0.046875
316,0.65625,0.3515625,1.0,0.1484375,0.0,0.1015625
317,0.7734375,0.421875,0.9296875,0.125,0.0390625,0.109375
318,0.890625,0.265625,0.4921875,0.078125,0.0,0.140625
319,0.65625,0.28125,1.0,0.1015625,0.0078125,0.1171875
320,0.71875,0.34375,0.6484375,0.1328125,0.625,0.1171875
321,0.828125,0.375,0.484375,0.1328125,0.609375,0.1796875
322,0.6640625,0.390625,0.7109375,0.1171875,0.1875,0.109375
323,0.6015625,0.375,1.0,0.1015625,0.21875,0.109375
324,0.6875,0.28125,0.5625,0.09375,0.09375,0.140625
325,0.5546875,0.40625,0.96875,0.140625,0.15625,0.078125
326,0.6171875,0.453125,0.5234375,0.1171875,0.0078125,0.171875
327,0.65625,0.375,1.0,0.0859375,0.0,0.0625
328,0.8671875,0.3984375,1.0,0.1171875,0.0078125,0.15625
329,0.8359375,0.2578125,0.9296875,0.1015625,0.0,0.09375
330,0.8515625,0.3828125,1.0,0.15625,0.0234375,0.140625
331,0.84375,0.3359375,0.265625,0.0625,0.125,0.109375
332,0.6875,0.3671875,0.1640625,0.15625,0.265625,0.2109375
333,0.34375,0.3125,0.3125,0.1171875,0.0859375,0.1328125
334,0.1796875,0.3984375,0.9140625,0.125,0.015625,0.1640625
335,0.3203125,0.28125,0.9921875,0.1171875,0.015625,0.203125
336,0.65625,0.328125,1.0,0.1953125,0.046875,0.203125
337,0.6953125,0.3515625,0.9609375,0.1640625,0.1796875,0.203125
338,0.8671875,0.3203125,0.96875,0.1953125,0.4453125,0.2890625
339,0.78125,0.421875,0.9296875,0.2421875,0.6875,0.1875
340,0.84375,0.40625,0.9140625,0.2578125,0.7109375,0.140625
341,0.8828125,0.3203125,0.8671875,0.21875,0.609375,0.15625
342,0.78125,0.375,0.953125,0.25,0.8046875,0.203125
343,0.7890625,0.3359375,0.84375,0.1953125,0.9296875,0.171875
344,0.875,0.40625,0.9375,0.2265625,0.8984375,0.1875
345,0.8671875,0.3359375,0.96875,0.140625,0.9140625,0.1796875
346,0.8828125,0.359375,0.9609375,0.171875,0.9296875,0.25
347,0.984375,0.40625,0.9765625,0.1953125,0.984375,0.234375
348,0.9375,0.3828125,0.96875,0.2421875,0.96875,0.1640625
349,0.9765625,0.40625,0.96875,0.25,0.9296875,0.3046875
350,0.8984375,0.3515625,0.9765625,0.171875,0.9375,0.2265625
351,0.9140625,0.3125,0.9296875,0.1015625,0.796875,0.21875
352,0.9453125,0.359375,0.9921875,0.1484375,0.828125,0.2109375
353,0.890625,0.328125,0.9609375,0.1640625,1.0,0.171875
354,0.875,0.40625,0.96875,0.1640625,1.0,0.234375
355,0.9453125,0.3828125,0.9609375,0.21875,1.0,0.171875
356,0.96875,0.3359375,1.0,0.1484375,1.0,0.2109375
357,0.9453125,0.3671875,0.9921875,0.203125,1.0,0.1796875
358,0.9765625,0.3203125,0.9609375,0.1640625,1.0,0.1953125
359,0.9375,0.3984375,0.96875,0.203125,0.9765625,0.1796875
360,0.9375,0.390625,0.9609375,0.25,0.890625,0.2734375
361,0.890625,0.3359375,0.8671875,0.265625,0.9296875,0.2265625
362,0.8046875,0.40625,0.984375,0.1640625,1.0,0.203125
363,0.890625,0.3671875,0.9375,0.28125,1.0,0.2109375
364,0.9296875,0.296875,0.9921875,0.1875,1.0,0.140625
365,0.9375,0.4140625,0.9921875,0.2734375,1.0,0.1640625
366,0.8984375,0.3671875,0.6640625,0.25,0.9375,0.2734375
367,0.8515625,0.375,1.0,0.2421875,1.0,0.2265625
368,0.8828125,0.4140625,0.9140625,0.2421875,0.9921875,0.2578125
369,0.84375,0.359375,0.7890625,0.203125,0.7890625,0.1953125
370,0.84375,0.3046875,0.953125,0.1875,0.6875,0.1640625
371,0.8125,0.328125,0.84375,0.2265625,0.34375,0.1953125
372,0.8828125,0.4140625,0.96875,0.171875,0.3515625,0.15625
373,0.828125,0.3984375,0.7421875,0.21875,0.890625,0.171875
374,0.875,0.390625,0.9140625,0.21875,1.0,0.1796875
375,0.953125,0.3671875,0.953125,0.2578125,0.9453125,0.15625
376,0.9765625,0.3359375,0.984375,0.296875,0.9296875,0.1328125
377,0.9453125,0.3515625,0.9609375,0.234375,0.9921875,0.1796875
378,0.9296875,0.40625,0.9921875,0.328125,1.0,0.1875
379,0.9765625,0.3203125,1.0,0.21875,0.984375,0.171875
380,0.96875,0.3359375,0.9609375,0.2109375,0.9609375,0.1484375
381,0.9765625,0.421875,0.984375,0.234375,0.9921875,0.234375
382,0.96875,0.3125,0.9765625,0.3125,0.9921875,0.203125
383,0.96875,0.359375,1.0,0.296875,1.0,0.3046875
384,0.984375,0.3671875,0.921875,0.265625,0.9609375,0.234375
385,0.8984375,0.390625,0.859375,0.2734375,0.78125,0.1640625
386,0.859375,0.3984375,0.8046875,0.28125,0.546875,0.1640625
387,0.7421875,0.4609375,0.4921875,0.28125,0.0234375,0.203125
388,0.859375,0.265625,0.984375,0.15625,0.0,0.1640625
389,0.828125,0.3125,0.953125,0.1953125,0.0078125,0.0859375
390,0.9609375,0.3046875,0.9765625,0.1640625,0.0,0.1640625
391,0.984375,0.3671875,1.0,0.2109375,0.0,0.171875
392,0.984375,0.4296875,0.984375,0.171875,0.0078125,0.1171875
393,0.9375,0.4296875,0.984375,0.1796875,0.0,0.1640625
394,0.96875,0.3984375,1.0,0.1640625,0.0,0.2109375
395,0.96875,0.3203125,1.0,0.1171875,0.03125,0.1484375
396,0.9765625,0.3984375,1.0,0.1640625,0.0078125,0.1484375
397,0.9609375,0.4609375,0.9921875,0.171875,0.0390625,0.1796875
398,0.984375,0.3515625,0.9296875,0.15625,0.0234375,0.234375
399,0.9765625,0.359375,0.953125,0.171875,0.0,0.1796875
400,0.890625,0.3515625,0.90625,0.1953125,0.046875,0.1640625
401,0.9453125,0.4375,0.9453125,0.203125,0.0546875,0.1640625
402,0.890625,0.390625,0.7890625,0.203125,0.15625,0.265625
403,0.765625,0.40625,0.84375,0.234375,0.4453125,0.1796875
404,0.921875,0.4140625,0.859375,0.3046875,0.4921875,0.2421875
405,0.8984375,0.390625,0.9375,0.2578125,0.5234375,0.2421875
406,0.7890625,0.3515625,0.875,0.2421875,0.59375,0.1796875
407,0.921875,0.4453125,0.90625,0.234375,0.5546875,0.234375
408,0.8203125,0.390625,0.890625,0.3046875,0.84375,0.2109375
409,0.875,0.4609375,0.8984375,0.28125,0.8828125,0.203125
410,0.96875,0.375,0.96875,0.28125,0.8203125,0.3125
411,0.9375,0.421875,0.9453125,0.21875,0.8671875,0.2109375
412,0.9765625,0.5234375,0.9609375,0.2734375,0.75,0.2265625
413,0.9375,0.453125,0.9375,0.1796875,0.8359375,0.203125
414,0.9296875,0.3359375,0.90625,0.2421875,0.890625,0.2109375
415,0.875,0.46875,0.9296875,0.28125,0.9375,0.1953125
416,0.9296875,0.375,0.9375,0.265625,0.7890625,0.296875
